,location,bhk,total_sqft,bath,price
1834,Doddakallasandra,2,1010.0,2.0,40.39
1835,Doddakallasandra,2,1072.0,2.0,42.87
1836,Doddakallasandra,2,1010.0,2.0,40.4
1837,Doddakallasandra,2,1010.0,2.0,41.0
1838,Doddakallasandra,2,1072.0,2.0,42.87
1839,Doddathoguru,2,970.0,2.0,33.0
1840,Doddathoguru,2,1050.0,2.0,32.0
1841,Doddathoguru,2,850.0,2.0,25.0
1842,Doddathoguru,2,1030.0,2.0,42.0
1843,Doddathoguru,3,1549.0,3.0,65.0
1845,Doddathoguru,1,550.0,1.0,17.0
1846,Doddathoguru,2,1015.0,2.0,33.5
1847,Doddathoguru,2,1104.0,2.0,39.0
1848,Doddathoguru,2,915.0,2.0,32.0
1849,Doddathoguru,1,750.0,1.0,25.5
1850,Doddathoguru,3,1595.0,3.0,62.0
1851,Doddathoguru,2,855.0,2.0,32.0
1852,Doddathoguru,2,1105.0,2.0,50.0
1853,Doddathoguru,2,925.0,2.0,30.0
1855,Doddathoguru,3,1208.0,3.0,45.0
1856,Doddathoguru,2,1100.0,2.0,50.0
1857,Doddathoguru,2,940.0,2.0,32.9
1858,Doddathoguru,3,1382.0,3.0,65.0
1859,Doddathoguru,2,1107.0,2.0,44.0
1860,Doddathoguru,2,907.0,2.0,40.0
1861,Doddathoguru,3,1783.0,3.0,85.0
1862,Doddathoguru,1,550.0,1.0,17.0
1863,Domlur,3,1540.0,3.0,90.0
1864,Domlur,3,1875.0,2.0,150.0
1865,Domlur,3,1429.0,3.0,86.0
1866,Domlur,1,640.0,1.0,55.0
1867,Domlur,2,1050.0,2.0,85.0
1868,Domlur,3,1800.0,3.0,150.0
1869,Domlur,3,1720.0,3.0,135.0
1870,Domlur,3,1950.0,3.0,165.0
1871,Domlur,3,2180.0,3.0,285.0
1872,Domlur,1,650.0,1.0,70.0
1873,Domlur,1,780.0,1.0,70.0
1874,Domlur,3,2180.0,3.0,285.0
1875,Domlur,3,1740.0,3.0,120.0
1876,Domlur,3,1695.0,3.0,125.0
1877,Domlur,2,1246.0,2.0,95.0
1878,Domlur,3,2100.0,3.0,145.0
1879,Domlur,2,1276.0,2.0,80.0
1880,Domlur,3,1850.0,3.0,180.0
1881,Domlur,3,2955.0,3.0,235.0
1882,Domlur,3,1650.0,3.0,180.0
1883,Dommasandra,2,805.0,2.0,22.14
1885,Dommasandra,3,1267.0,3.0,56.0
1886,Dommasandra,2,1200.0,2.0,50.0
1887,Dommasandra,4,2700.0,3.0,68.0
1889,Dommasandra,2,1153.0,2.0,43.5
1890,Dommasandra,2,1500.0,2.0,40.0
1891,Dommasandra,2,1090.0,2.0,43.5
1892,Dommasandra,2,850.0,2.0,25.4
1893,Dommasandra,2,674.0,1.0,19.9
1894,Dommasandra,2,999.0,2.0,32.9
1895,EPIP Zone,3,1499.0,5.0,102.0
1896,EPIP Zone,2,1285.0,2.0,82.0
1897,EPIP Zone,3,2330.0,3.0,162.0
1898,EPIP Zone,2,1330.0,2.0,92.5
1899,EPIP Zone,2,1330.0,2.0,86.98
1900,EPIP Zone,2,1330.0,2.0,93.36
1902,EPIP Zone,3,1500.0,3.0,102.0
1903,EPIP Zone,2,1280.0,2.0,69.0
1904,EPIP Zone,2,1125.0,2.0,65.0
1905,EPIP Zone,3,1734.0,3.0,125.0
1907,EPIP Zone,2,1343.0,2.0,86.0
1908,EPIP Zone,3,2350.0,4.0,163.0
1909,EPIP Zone,3,1860.0,3.0,130.0
1910,EPIP Zone,3,2210.0,3.0,165.0
1911,EPIP Zone,3,2710.0,3.0,177.0
1914,Electronic City,3,1025.0,2.0,47.0
1917,Electronic City,3,1500.0,2.0,64.5
1918,Electronic City,2,1060.0,2.0,60.0
1919,Electronic City,2,1152.0,2.0,64.5
1921,Electronic City,2,770.0,1.0,36.0
1922,Electronic City,2,1070.0,2.0,52.0
1923,Electronic City,2,1025.0,2.0,46.0
1924,Electronic City,1,589.0,1.0,27.0
1926,Electronic City,2,910.0,2.0,40.0
1927,Electronic City,2,1108.0,2.0,63.0
1928,Electronic City,2,1128.0,2.0,65.0
1929,Electronic City,3,1800.0,3.0,95.0
1930,Electronic City,1,630.0,1.0,34.65
1931,Electronic City,2,1128.0,2.0,63.0
1932,Electronic City,3,1599.0,3.0,99.0
1935,Electronic City,2,1070.0,2.0,55.0
1936,Electronic City,2,940.0,2.0,41.0
1938,Electronic City,2,1128.0,2.0,68.75
1939,Electronic City,2,1342.0,2.0,73.3
1940,Electronic City,3,1360.0,2.0,71.0
1942,Electronic City,2,1265.0,2.0,56.93
1943,Electronic City,3,1691.0,2.0,102.0
1944,Electronic City,2,1128.0,2.0,65.49
1947,Electronic City,2,1070.0,2.0,56.1
1948,Electronic City,4,2000.0,4.0,120.0
1949,Electronic City,2,890.0,2.0,45.0
1950,Electronic City,2,1128.0,2.0,65.65
1951,Electronic City,2,865.0,2.0,42.0
1953,Electronic City,2,910.0,2.0,42.0
1955,Electronic City,3,1360.0,2.0,75.0
1956,Electronic City,2,770.0,1.0,40.0
1957,Electronic City,2,1128.0,2.0,64.0
1958,Electronic City,2,1070.0,2.0,54.0
1960,Electronic City,3,1571.0,3.0,89.0
1961,Electronic City,3,1111.0,3.0,50.0
1962,Electronic City,2,870.0,2.0,39.5
1964,Electronic City,3,1374.0,2.0,72.0
1966,Electronic City,2,1128.0,2.0,65.35
1967,Electronic City,2,1128.0,2.0,65.0
1968,Electronic City,2,755.0,1.0,34.0
1972,Electronic City,3,1563.0,3.0,91.84
1973,Electronic City,3,1652.0,3.0,70.0
1975,Electronic City,2,1025.0,2.0,54.5
1977,Electronic City,3,1350.0,3.0,58.0
1980,Electronic City,3,1700.0,3.0,75.0
1982,Electronic City,2,1128.0,2.0,68.0
1983,Electronic City,1,700.0,1.0,35.0
1984,Electronic City,3,1360.0,2.0,70.5
1986,Electronic City,3,1571.0,3.0,105.0
1990,Electronic City,3,1600.0,3.0,104.0
1992,Electronic City,3,1500.0,2.0,100.0
1996,Electronic City,2,1152.0,2.0,65.0
1997,Electronic City,2,1070.0,2.0,60.0
1998,Electronic City,2,1128.0,2.0,65.5
1999,Electronic City,2,1200.0,2.0,59.0
2000,Electronic City,2,1152.0,2.0,65.75
2002,Electronic City,2,1070.0,2.0,55.0
2003,Electronic City,2,1060.0,2.0,58.0
2004,Electronic City,2,1025.0,2.0,54.1
2009,Electronic City,3,1500.0,2.0,78.0
2010,Electronic City,2,1213.0,2.0,59.32
2011,Electronic City,3,1575.0,3.0,90.0
2012,Electronic City,1,435.0,1.0,19.5
2013,Electronic City,3,1449.0,3.0,100.0
2015,Electronic City,2,1125.0,2.0,58.0
2017,Electronic City,3,1575.0,3.0,101.0
2019,Electronic City,1,550.0,1.0,12.0
2020,Electronic City,2,919.0,2.0,40.0
2021,Electronic City,3,1500.0,2.0,78.25
2022,Electronic City,2,1363.0,2.0,79.0
2025,Electronic City,2,1108.0,2.0,67.15
2027,Electronic City,2,1128.0,2.0,65.7
2029,Electronic City,2,1060.0,2.0,51.0
2031,Electronic City,3,1650.0,3.0,100.0
2033,Electronic City,2,1025.0,2.0,49.0
2035,Electronic City,3,1449.0,3.0,90.0
2037,Electronic City,2,1070.0,2.0,58.0
2038,Electronic City,2,1210.0,2.0,54.0
2039,Electronic City,3,1500.0,2.0,75.0
2041,Electronic City,2,1070.0,2.0,52.0
2042,Electronic City,4,2435.0,4.0,119.0
2047,Electronic City,2,1073.0,2.0,60.0
2048,Electronic City,3,1500.0,2.0,78.0
2049,Electronic City,2,1070.0,2.0,47.0
2050,Electronic City,2,1296.0,2.0,65.0
2051,Electronic City,2,1140.0,2.0,70.93
2057,Electronic City,4,2093.0,4.0,104.0
2058,Electronic City,2,1025.0,2.0,53.9
2059,Electronic City,2,940.0,2.0,54.0
2060,Electronic City,1,435.0,1.0,21.0
2061,Electronic City,3,1500.0,2.0,77.5
2062,Electronic City,3,1631.0,3.0,80.0
2063,Electronic City,2,1355.0,2.0,67.0
2066,Electronic City,1,435.0,1.0,22.0
2068,Electronic City,2,1039.0,2.0,50.0
2069,Electronic City,2,770.0,1.0,39.9
2071,Electronic City,2,1128.0,2.0,64.0
2072,Electronic City,1,605.0,1.0,13.31
2074,Electronic City,1,530.0,1.0,13.5
2075,Electronic City,2,1070.0,2.0,53.0
2078,Electronic City,3,1571.0,3.0,83.0
2080,Electronic City,3,1350.0,3.0,66.0
2081,Electronic City,3,1652.0,3.0,110.0
2085,Electronic City,2,1128.0,2.0,65.58
2086,Electronic City,1,635.0,1.0,28.0
2087,Electronic City,2,1128.0,2.0,65.4
2090,Electronic City,2,1355.0,2.0,72.9
2094,Electronic City,2,770.0,1.0,35.0
2096,Electronic City,2,865.0,2.0,40.0
2099,Electronic City,2,1108.0,2.0,63.0
2100,Electronic City,1,630.0,1.0,40.5
2103,Electronic City,1,605.0,1.0,22.0
2105,Electronic City,2,1070.0,2.0,48.0
2107,Electronic City,3,1360.0,2.0,70.0
2108,Electronic City,1,635.0,1.0,28.0
2109,Electronic City,2,1128.0,2.0,65.45
2110,Electronic City,2,890.0,2.0,40.0
2115,Electronic City,3,1360.0,2.0,58.0
2118,Electronic City,1,630.0,1.0,33.7
2122,Electronic City,3,1400.0,3.0,90.0
2123,Electronic City,3,1287.0,3.0,55.0
2124,Electronic City,2,1258.0,2.0,85.5
2125,Electronic City,2,1386.0,2.0,85.0
2126,Electronic City,1,550.0,1.0,27.0
2127,Electronic City,2,1025.0,2.0,50.0
2129,Electronic City,2,1070.0,2.0,55.0
2130,Electronic City,2,1342.0,2.0,72.0
2131,Electronic City,3,1275.0,3.0,70.0
2132,Electronic City,2,770.0,1.0,38.0
2137,Electronic City,3,1644.0,3.0,92.59
2138,Electronic City,2,1250.0,2.0,62.0
2141,Electronic City,1,418.0,1.0,12.0
2142,Electronic City,2,1128.0,2.0,64.8
2145,Electronic City,2,1060.0,2.0,55.0
2146,Electronic City,1,710.0,1.0,40.42
2149,Electronic City,3,1275.0,3.0,63.43
2150,Electronic City,3,1518.0,3.0,75.0
2151,Electronic City,1,1090.0,2.0,31.48
2154,Electronic City,2,1060.0,2.0,55.0
2156,Electronic City,2,1353.0,2.0,75.0
2158,Electronic City,2,1128.0,2.0,67.0
2159,Electronic City,2,1070.0,2.0,57.0
2160,Electronic City,3,1700.0,3.0,90.0
2162,Electronic City,1,750.0,1.0,35.0
2163,Electronic City,2,1210.0,2.0,55.0
2164,Electronic City,2,1070.0,2.0,60.0
2169,Electronic City,3,1615.0,3.0,97.0
2171,Electronic City,2,1221.0,2.0,68.0
2173,Electronic City,3,1500.0,3.0,73.0
2174,Electronic City,2,995.0,2.0,48.0
2175,Electronic City,2,1342.0,2.0,90.0
2177,Electronic City,2,1128.0,2.0,63.5
2178,Electronic City,1,589.0,1.0,29.0
2181,Electronic City,3,1575.0,3.0,94.5
2182,Electronic City,2,1070.0,2.0,48.0
2183,Electronic City,2,1025.0,2.0,54.0
2184,Electronic City,3,1500.0,2.0,70.0
2185,Electronic City,3,1500.0,2.0,64.5
2187,Electronic City,4,2093.0,4.0,134.0
2189,Electronic City,2,1355.0,2.0,73.0
2190,Electronic City,3,1360.0,2.0,64.99
2191,Electronic City,2,1060.0,2.0,52.0
2192,Electronic City Phase II,2,1056.0,2.0,39.07
2193,Electronic City Phase II,2,1020.0,2.0,30.6
2194,Electronic City Phase II,2,1069.0,2.0,45.0
2195,Electronic City Phase II,1,630.0,1.0,28.35
2197,Electronic City Phase II,2,1000.0,2.0,25.0
2198,Electronic City Phase II,2,1090.0,2.0,28.34
2199,Electronic City Phase II,4,2225.0,4.0,98.88
2201,Electronic City Phase II,2,775.0,2.0,38.0
2202,Electronic City Phase II,2,1266.0,2.0,59.0
2203,Electronic City Phase II,2,1000.0,2.0,28.88
2206,Electronic City Phase II,2,972.0,2.0,44.0
2208,Electronic City Phase II,2,1031.0,2.0,55.0
2209,Electronic City Phase II,2,1003.0,2.0,40.6
2210,Electronic City Phase II,2,1031.0,2.0,56.35
2212,Electronic City Phase II,3,1395.0,2.0,62.78
2213,Electronic City Phase II,2,1160.0,2.0,33.5
2214,Electronic City Phase II,2,1065.0,2.0,30.75
2215,Electronic City Phase II,2,1219.0,2.0,61.25
2217,Electronic City Phase II,2,1000.0,2.0,28.88
2218,Electronic City Phase II,3,1790.0,3.0,100.0
2219,Electronic City Phase II,2,769.0,2.0,40.0
2221,Electronic City Phase II,2,900.0,2.0,32.5
2224,Electronic City Phase II,3,993.0,2.0,50.0
2225,Electronic City Phase II,3,1418.0,3.0,52.47
2226,Electronic City Phase II,2,1070.0,2.0,45.0
2229,Electronic City Phase II,2,1140.0,2.0,33.06
2230,Electronic City Phase II,2,1089.0,2.0,32.67
2231,Electronic City Phase II,2,1031.0,2.0,55.0
2232,Electronic City Phase II,2,1253.0,2.0,65.8
2234,Electronic City Phase II,2,1160.0,2.0,33.5
2235,Electronic City Phase II,3,975.0,2.0,45.0
2236,Electronic City Phase II,4,6000.0,4.0,260.0
2237,Electronic City Phase II,2,1116.0,2.0,37.0
2238,Electronic City Phase II,2,1125.0,2.0,29.25
2239,Electronic City Phase II,2,1000.0,2.0,28.88
2240,Electronic City Phase II,2,1000.0,2.0,28.88
2241,Electronic City Phase II,2,1000.0,2.0,28.88
2242,Electronic City Phase II,2,1165.0,2.0,30.29
2243,Electronic City Phase II,4,3550.0,2.0,167.5
2244,Electronic City Phase II,2,1031.0,2.0,53.0
2246,Electronic City Phase II,2,1065.0,2.0,30.88
2248,Electronic City Phase II,3,1549.0,3.0,80.0
2249,Electronic City Phase II,2,1065.0,2.0,56.13
2251,Electronic City Phase II,2,920.0,2.0,26.0
2252,Electronic City Phase II,2,1140.0,2.0,33.84
2253,Electronic City Phase II,2,1219.0,2.0,61.26
2254,Electronic City Phase II,3,1252.0,2.0,65.0
2255,Electronic City Phase II,2,1125.0,2.0,32.49
2257,Electronic City Phase II,2,1286.0,2.0,69.0
2259,Electronic City Phase II,2,1140.0,2.0,32.92
2260,Electronic City Phase II,2,1116.0,2.0,40.0
2261,Electronic City Phase II,3,1150.0,3.0,46.0
2262,Electronic City Phase II,3,1192.0,2.0,47.0
2264,Electronic City Phase II,2,1020.0,2.0,32.0
2265,Electronic City Phase II,4,1900.0,3.0,97.0
2266,Electronic City Phase II,2,1020.0,2.0,27.43
2267,Electronic City Phase II,2,1025.0,2.0,26.65
2268,Electronic City Phase II,2,1020.0,2.0,29.45
2269,Electronic City Phase II,2,1000.0,2.0,28.88
2271,Electronic City Phase II,2,1140.0,2.0,28.5
2272,Electronic City Phase II,2,1125.0,2.0,32.49
2273,Electronic City Phase II,2,1200.0,2.0,34.65
2274,Electronic City Phase II,2,1160.0,2.0,52.2
2275,Electronic City Phase II,2,1244.0,2.0,55.0
2276,Electronic City Phase II,2,1160.0,2.0,33.51
2279,Electronic City Phase II,2,972.0,2.0,40.0
2280,Electronic City Phase II,2,1160.0,2.0,33.51
2282,Electronic City Phase II,2,1090.0,2.0,31.48
2283,Electronic City Phase II,2,1140.0,2.0,32.92
2284,Electronic City Phase II,1,650.0,1.0,35.0
2285,Electronic City Phase II,2,1155.0,2.0,57.0
2286,Electronic City Phase II,3,1800.0,3.0,92.0
2287,Electronic City Phase II,2,1300.0,2.0,28.0
2288,Electronic City Phase II,2,1160.0,2.0,33.5
2289,Electronic City Phase II,2,1025.0,2.0,29.6
2290,Electronic City Phase II,2,829.0,2.0,22.8
2291,Electronic City Phase II,4,2187.5,4.0,105.0
2292,Electronic City Phase II,2,1252.0,2.0,67.0
2294,Electronic City Phase II,2,1125.0,2.0,32.63
2295,Electronic City Phase II,2,1140.0,2.0,34.0
2298,Electronic City Phase II,3,1252.0,2.0,65.0
2299,Electronic City Phase II,2,1135.0,2.0,46.0
2300,Electronic City Phase II,3,1305.0,3.0,65.0
2301,Electronic City Phase II,2,1165.0,2.0,33.64
2303,Electronic City Phase II,3,1336.0,2.0,50.35
2304,Electronic City Phase II,1,575.0,1.0,16.75
2305,Electronic City Phase II,3,925.0,2.0,49.82
2306,Electronic City Phase II,2,1065.0,2.0,30.76
2307,Electronic City Phase II,2,1065.0,2.0,30.75
2308,Electronic City Phase II,2,1140.0,2.0,33.06
2309,Electronic City Phase II,2,911.0,2.0,26.5
2310,Electronic City Phase II,2,1200.0,2.0,34.65
2311,Electronic City Phase II,2,1031.0,2.0,54.48
2315,Electronics City Phase 1,3,1475.0,3.0,78.29
2316,Electronics City Phase 1,3,1490.0,3.0,78.8
2317,Electronics City Phase 1,2,1113.27,2.0,53.0
2318,Electronics City Phase 1,3,1490.0,3.0,84.0
2325,Electronics City Phase 1,2,1015.0,2.0,56.0
2327,Electronics City Phase 1,3,1515.0,2.0,80.91
2328,Electronics City Phase 1,2,995.0,2.0,46.0
2329,Electronics City Phase 1,3,1555.0,2.0,82.0
2330,Electronics City Phase 1,2,1340.0,2.0,75.0
2331,Electronics City Phase 1,3,1124.0,2.0,55.0
2332,Electronics City Phase 1,2,1175.0,2.0,57.0
2333,Electronics City Phase 1,1,755.0,1.0,42.41
2334,Electronics City Phase 1,1,580.0,1.0,27.0
2335,Electronics City Phase 1,2,940.0,2.0,49.0
2336,Electronics City Phase 1,2,1335.0,2.0,67.0
2337,Electronics City Phase 1,2,1113.12,2.0,55.0
2339,Electronics City Phase 1,3,1350.0,3.0,71.0
2341,Electronics City Phase 1,2,995.0,2.0,49.8
2342,Electronics City Phase 1,1,635.0,1.0,26.0
2343,Electronics City Phase 1,2,1190.0,2.0,68.0
2345,Electronics City Phase 1,3,1450.0,3.0,72.54
2346,Electronics City Phase 1,1,360.0,1.0,16.9
2347,Electronics City Phase 1,1,638.0,1.0,32.0
2348,Electronics City Phase 1,2,1175.0,2.0,64.98
2349,Electronics City Phase 1,1,585.0,1.0,21.0
2350,Electronics City Phase 1,2,1200.0,2.0,59.76
2351,Electronics City Phase 1,2,1145.0,2.0,54.0
2352,Electronics City Phase 1,2,1125.0,2.0,65.0
2354,Electronics City Phase 1,3,1550.0,2.0,82.0
2356,Electronics City Phase 1,2,865.0,2.0,40.0
2360,Electronics City Phase 1,3,1800.0,3.0,93.0
2361,Electronics City Phase 1,2,1314.0,2.0,60.0
2362,Electronics City Phase 1,2,1170.0,2.0,62.0
2363,Electronics City Phase 1,3,1450.0,3.0,79.0
2364,Electronics City Phase 1,2,940.0,2.0,48.0
2365,Electronics City Phase 1,2,940.0,2.0,44.0
2366,Electronics City Phase 1,2,1300.0,2.0,67.0
2367,Electronics City Phase 1,2,1028.0,2.0,51.0
2369,Electronics City Phase 1,2,1205.0,2.0,60.0
2371,Electronics City Phase 1,2,1305.0,2.0,67.0
2372,Electronics City Phase 1,1,755.0,1.0,30.12
2373,Electronics City Phase 1,2,1175.0,2.0,60.0
2374,Frazer Town,3,1700.0,3.0,180.0
2375,Frazer Town,3,1870.0,3.0,185.0
2376,Frazer Town,3,1750.0,3.0,150.0
2378,Frazer Town,3,2000.0,3.0,200.0
2379,Frazer Town,3,3500.0,4.0,330.0
2380,Frazer Town,3,2350.0,4.0,285.0
2381,Frazer Town,2,1550.0,2.0,140.0
2382,Frazer Town,3,1900.0,4.0,145.0
2383,Frazer Town,3,2560.0,3.0,265.0
2384,Frazer Town,3,2400.0,3.0,260.0
2385,Frazer Town,3,2560.0,3.0,288.0
2388,Frazer Town,2,1315.0,2.0,140.0
2389,Frazer Town,3,1706.0,3.0,154.0
2390,Frazer Town,3,2079.0,3.0,220.0
2392,Frazer Town,4,3436.0,5.0,345.0
2393,Frazer Town,3,3100.0,3.0,400.0
2394,Frazer Town,3,5400.0,3.0,400.0
2395,Frazer Town,2,1180.0,2.0,105.0
2396,Frazer Town,4,2900.0,4.0,325.0
2397,Frazer Town,3,1870.0,3.0,180.0
2398,Frazer Town,1,896.0,1.0,100.0
2399,Frazer Town,2,1420.0,2.0,120.0
2400,GM Palaya,3,1820.0,2.0,86.0
2401,GM Palaya,2,1225.0,2.0,47.0
2402,GM Palaya,2,1140.0,2.0,48.95
2403,GM Palaya,3,1315.0,2.0,65.0
2404,GM Palaya,3,1315.0,3.0,65.0
2405,GM Palaya,3,1315.0,3.0,64.0
2406,GM Palaya,3,1735.0,3.0,70.0
2407,GM Palaya,3,1643.0,2.0,70.0
2408,Garudachar Palya,3,1325.0,2.0,60.8
2409,Garudachar Palya,2,1060.0,2.0,48.7
2410,Garudachar Palya,2,1150.0,2.0,52.75
2411,Garudachar Palya,3,1295.0,2.0,59.5
2412,Garudachar Palya,3,1320.0,2.0,60.6
2413,Garudachar Palya,3,1295.0,2.0,59.5
2414,Garudachar Palya,2,1150.0,2.0,52.8
2415,Garudachar Palya,2,1150.0,2.0,52.8
2416,Garudachar Palya,2,1060.0,2.0,48.5
2417,Garudachar Palya,2,1150.0,2.0,52.5
2418,Garudachar Palya,3,1325.0,2.0,60.8
2419,Garudachar Palya,2,1060.0,2.0,48.66
2420,Garudachar Palya,2,1150.0,2.0,52.0
2421,Garudachar Palya,2,1154.0,2.0,51.8
2423,Giri Nagar,4,2400.0,4.0,400.0
2424,Giri Nagar,3,1800.0,3.0,252.0
2425,Giri Nagar,3,1350.0,3.0,240.0
2426,Giri Nagar,4,2400.0,4.0,400.0
2427,Giri Nagar,6,3000.0,4.0,375.0
2428,Giri Nagar,6,2400.0,6.0,400.0
2429,Giri Nagar,4,4000.0,3.0,750.0
2430,Gollarapalya Hosahalli,2,861.0,2.0,34.5
2431,Gollarapalya Hosahalli,3,1408.0,3.0,62.0
2432,Gollarapalya Hosahalli,2,861.0,2.0,34.5
2433,Gollarapalya Hosahalli,3,1318.0,3.0,54.0
2434,Gollarapalya Hosahalli,2,861.0,2.0,36.5
2435,Gollarapalya Hosahalli,3,1320.0,3.0,60.0
2436,Gollarapalya Hosahalli,3,1345.0,3.0,60.0
2437,Gollarapalya Hosahalli,4,1905.0,3.0,86.0
2438,Gollarapalya Hosahalli,3,1318.0,3.0,56.0
2439,Gollarapalya Hosahalli,2,1129.0,2.0,50.0
2440,Gottigere,2,1100.0,2.0,40.0
2441,Gottigere,2,967.0,2.0,45.0
2442,Gottigere,3,1618.0,3.0,82.5
2443,Gottigere,2,1222.0,2.0,63.0
2445,Gottigere,3,1300.0,3.0,65.0
2446,Gottigere,2,950.0,2.0,38.0
2447,Gottigere,2,1153.0,2.0,48.5
2448,Gottigere,1,812.0,1.0,26.0
2450,Gottigere,3,1460.0,2.0,65.0
2451,Gottigere,3,1500.0,3.0,70.0
2452,Gottigere,3,1621.0,3.0,72.0
2453,Gottigere,1,812.0,1.0,26.0
2454,Gottigere,2,990.0,2.0,40.0
2455,Gottigere,2,1235.0,2.0,63.0
2456,Gottigere,3,1385.0,3.0,64.0
2457,Gottigere,2,1000.0,2.0,35.0
2458,Gottigere,2,1010.0,2.0,35.0
2461,Gottigere,3,1435.0,2.0,62.0
2462,Gottigere,2,945.0,2.0,45.0
2464,Gottigere,4,2500.0,3.0,120.0
2465,Gottigere,3,1230.0,2.0,52.0
2466,Gottigere,2,1120.0,2.0,50.0
2467,Gottigere,3,1500.0,3.0,63.0
2468,Gottigere,2,1200.0,2.0,40.0
2469,Gottigere,2,1280.0,2.0,61.0
2470,Gottigere,2,1205.0,2.0,56.58
2471,Gottigere,2,1170.0,2.0,40.0
2472,Gottigere,4,3000.0,3.0,132.0
2473,Gottigere,3,1613.0,3.0,72.0
2474,Gottigere,2,1110.0,2.0,36.25
2475,Gottigere,2,1245.0,2.0,59.0
2476,Gottigere,2,1200.0,2.0,50.0
2477,Green Glen Layout,3,1670.0,3.0,120.0
2478,Green Glen Layout,4,3250.0,4.0,230.0
2479,Green Glen Layout,3,1776.42,3.0,105.0
2480,Green Glen Layout,4,3250.0,4.0,230.0
2481,Green Glen Layout,2,940.0,2.0,56.8
2482,Green Glen Layout,2,1075.0,2.0,60.0
2483,Green Glen Layout,3,1715.0,3.0,115.0
2484,Green Glen Layout,3,1751.0,2.0,115.0
2485,Green Glen Layout,3,1750.0,3.0,130.0
2486,Green Glen Layout,3,1530.0,3.0,105.0
2487,Green Glen Layout,3,1752.0,3.0,105.0
2488,Green Glen Layout,3,1680.0,4.0,95.0
2489,Green Glen Layout,3,1728.0,3.0,125.0
2490,Green Glen Layout,3,1645.0,3.0,110.0
2491,Green Glen Layout,3,1517.0,3.0,100.0
2492,Green Glen Layout,4,3150.0,4.0,218.0
2494,Green Glen Layout,3,1750.0,3.0,120.0
2495,Green Glen Layout,3,1751.0,3.0,115.0
2496,Green Glen Layout,3,1750.0,3.0,105.0
2497,Green Glen Layout,3,1885.0,3.0,135.0
2498,Green Glen Layout,3,1715.0,3.0,120.0
2499,Green Glen Layout,3,1623.29,2.0,105.0
2500,Green Glen Layout,3,1715.0,3.0,115.0
2501,Green Glen Layout,3,1715.0,3.0,105.0
2502,Green Glen Layout,3,1600.0,3.0,105.0
2503,Green Glen Layout,3,1717.0,3.0,125.0
2504,Green Glen Layout,2,1250.0,2.0,75.0
2505,Green Glen Layout,3,1715.0,3.0,112.0
2506,Gubbalala,3,1470.0,2.0,82.0
2507,Gubbalala,3,1745.0,3.0,104.0
2508,Gubbalala,3,1745.0,3.0,115.0
2509,Gubbalala,3,1745.0,3.0,110.0
2510,Gubbalala,3,1650.0,3.0,71.0
2511,Gubbalala,5,2570.0,4.0,141.0
2512,Gubbalala,2,1205.0,2.0,70.0
2513,Gubbalala,3,1435.0,2.0,80.0
2514,Gubbalala,2,1475.0,2.0,80.0
2516,Gubbalala,2,1100.0,2.0,49.5
2517,Gubbalala,2,1060.0,2.0,46.0
2518,Gubbalala,3,2000.0,3.0,125.0
2520,Gunjur,2,1140.0,2.0,43.0
2521,Gunjur,3,1356.0,2.0,66.0
2522,Gunjur,3,1600.0,3.0,75.0
2523,Gunjur,4,2000.0,3.0,95.0
2524,Gunjur,2,1140.0,2.0,49.11
2525,Gunjur,2,1195.0,2.0,44.0
2526,Gunjur,2,1190.0,2.0,40.0
2527,Gunjur,2,1457.0,2.0,60.0
2528,Gunjur,2,1080.0,2.0,41.0
2531,Gunjur,2,1175.0,2.0,43.48
2532,Gunjur,3,1362.0,3.0,62.63
2533,Gunjur,2,1071.0,2.0,51.0
2534,Gunjur,2,1063.0,2.0,40.0
2535,Gunjur,2,1235.0,2.0,52.76
2536,Gunjur,3,1362.0,3.0,62.63
2537,Gunjur,3,1362.0,3.0,62.63
2538,Gunjur,3,1588.0,2.0,90.0
2539,Gunjur,2,1235.0,2.0,44.5
2540,Gunjur,2,1457.0,2.0,60.0
2541,HAL 2nd Stage,3,1490.0,2.0,300.0
2542,HAL 2nd Stage,2,600.0,3.0,145.0
2543,HAL 2nd Stage,3,2700.0,3.0,500.0
2544,HAL 2nd Stage,5,2040.0,4.0,500.0
2545,HBR Layout,3,2800.0,2.0,200.0
2546,HBR Layout,3,1722.0,3.0,95.0
2547,HBR Layout,4,1200.0,4.0,120.0
2548,HBR Layout,2,1200.0,2.0,60.0
2549,HBR Layout,2,1004.0,2.0,49.0
2550,HBR Layout,3,1783.0,3.0,125.0
2551,HBR Layout,3,1656.0,3.0,90.0
2552,HBR Layout,2,1089.0,2.0,60.0
2553,HBR Layout,3,1700.0,3.0,110.0
2554,HBR Layout,2,1198.0,2.0,65.0
2555,HBR Layout,4,1200.0,4.0,115.0
2556,HBR Layout,2,1200.0,2.0,120.0
2557,HBR Layout,3,1832.0,3.0,160.0
2558,HRBR Layout,2,1374.0,2.0,95.0
2559,HRBR Layout,2,1440.0,2.0,98.0
2561,HRBR Layout,3,2800.0,3.0,250.0
2562,HRBR Layout,2,1210.0,2.0,75.0
2563,HRBR Layout,2,1265.0,2.0,78.0
2564,HRBR Layout,2,1170.0,2.0,75.0
2566,HRBR Layout,4,1900.0,3.0,90.0
